epoch,train_loss,val_loss,train_mae,val_mae,train_mad,val_mad,train_final_mae,val_final_mae,train_final_mad,val_final_mad,train_relative_mae,val_relative_mae,train_relative_mad,val_relative_mad,lr_start,lr_end,eval_ran,epoch_time_seconds,total_elapsed_seconds,best_updated,source_run_dir,source_segment_index
1,0.5384940927204723,0.4797830013205594,31.18622589111328,28.726945877075195,25.625,23.9375,31.18622589111328,28.726945877075195,25.625,23.9375,31.18622589111328,28.726945877075195,25.625,23.9375,0.0001166666666666,0.0001833333333333,True,312.9947999420001,316.8042968290001,True,90-8-no1-Bonet-master_like_train_20260410_092842,1
2,0.4751271093516939,0.4567345830534818,28.394258499145508,27.50324249267578,23.25,22.75,28.394258499145508,27.50324249267578,23.25,22.75,28.394258499145508,27.50324249267578,23.25,22.75,0.0001833333333333,0.00025,True,247.58059316000023,564.3873762769999,True,90-8-no1-Bonet-master_like_train_20260410_092842,1
3,0.3662770995566632,0.3194186903985653,23.501544952392575,21.51012420654297,18.875,18.0,23.501544952392575,21.51012420654297,18.875,18.0,23.501544952392575,21.51012420654297,18.875,18.0,0.00025,0.0002499201416852,True,248.19914033700024,812.5882808759998,True,90-8-no1-Bonet-master_like_train_20260410_092842,1
4,0.2913931461183062,0.2852450918515969,19.997217178344727,19.90055274963379,15.5,15.875,19.997217178344727,19.90055274963379,15.5,15.875,19.997217178344727,19.90055274963379,15.5,15.875,0.0002499201416852,0.0002496806708609,True,289.1553729340003,1101.748443466,True,90-8-no1-Bonet-master_like_train_20260410_092842,1
5,0.255425766672165,0.2497864582511853,18.42067146301269,18.10549545288086,14.625,14.875,18.42067146301269,18.10549545288086,14.625,14.875,18.42067146301269,18.10549545288086,14.625,14.875,0.0002496806708609,0.0002492818997514,True,326.94271833899984,1428.7028925630002,True,90-8-no1-Bonet-master_like_train_20260410_092842,1
6,0.2410727132161313,0.1830492437220221,17.71249008178711,14.929545402526855,14.0,11.9375,17.71249008178711,14.929545402526855,14.0,11.9375,17.71249008178711,14.929545402526855,14.0,11.9375,0.0002492818997514,0.000248724348278,True,309.76576857300006,1738.5018387640002,True,90-8-no1-Bonet-master_like_train_20260410_092842,1
7,0.2231177007879548,0.2965313223351268,16.86610984802246,20.60790634155273,13.1875,17.875,16.86610984802246,20.60790634155273,13.1875,17.875,16.86610984802246,20.60790634155273,13.1875,17.875,0.000248724348278,0.0002480087433816,True,289.64132772999983,2028.157302075,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
8,0.2097106971364978,0.1841914947621451,16.179325103759766,14.764375686645508,12.75,11.25,16.179325103759766,14.764375686645508,12.75,11.25,16.179325103759766,14.764375686645508,12.75,11.25,0.0002480087433816,0.0002471360180744,True,314.6194517490003,2342.941526019,True,90-8-no1-Bonet-master_like_train_20260410_092842,1
9,0.1894779934450655,0.213339749802045,15.142637252807615,16.425973892211914,11.75,13.375,15.142637252807615,16.425973892211914,11.75,13.375,15.142637252807615,16.425973892211914,11.75,13.375,0.0002471360180744,0.0002461073102238,True,326.2471888119999,2669.223496758,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
10,0.1825148045943422,0.1748055002716112,14.845178604125977,14.38882827758789,11.625,10.75,14.845178604125977,14.38882827758789,11.625,10.75,14.845178604125977,14.38882827758789,11.625,10.75,0.0002461073102238,0.0002449239610684,True,318.77631148599994,2988.25537455,True,90-8-no1-Bonet-master_like_train_20260410_092842,1
11,0.1708916974050591,0.1653530398830457,14.276776313781738,13.943745613098145,11.375,10.75,14.276776313781738,13.943745613098145,11.375,10.75,14.276776313781738,13.943745613098145,11.375,10.75,0.0002449239610684,0.0002435875134698,True,310.38732257799984,3298.6585982999995,True,90-8-no1-Bonet-master_like_train_20260410_092842,1
12,0.1608667262034204,0.1581243370015691,13.73170280456543,13.759028434753418,10.8125,11.5,13.73170280456543,13.759028434753418,10.8125,11.5,13.73170280456543,13.759028434753418,10.8125,11.5,0.0002435875134698,0.0002420997099008,True,397.4757388580001,3696.169614873,True,90-8-no1-Bonet-master_like_train_20260410_092842,1
13,0.1526399923709328,0.1917934471853652,13.30430793762207,15.19166374206543,10.375,11.625,13.30430793762207,15.19166374206543,10.375,11.625,13.30430793762207,15.19166374206543,10.375,11.625,0.0002420997099008,0.0002404624901734,True,373.6537773419996,4069.88783996,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
14,0.1516801115947003,0.1872687751497827,13.269648551940918,15.031206130981444,10.625,11.375,13.269648551940918,15.031206130981444,10.625,11.375,13.269648551940918,15.031206130981444,10.625,11.375,0.0002404624901734,0.0002386779889096,True,355.24994010499995,4425.266017917,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
15,0.1402843391454582,0.1374503439409869,12.662726402282717,12.442474365234377,10.0,9.5,12.662726402282717,12.442474365234377,10.0,9.5,12.662726402282717,12.442474365234377,10.0,9.5,0.0002386779889096,0.0002367485327588,True,348.33146141399993,4773.67807521,True,90-8-no1-Bonet-master_like_train_20260410_092842,1
16,0.137913943392682,0.1569786235836411,12.6149320602417,13.389397621154783,10.125,9.9375,12.6149320602417,13.389397621154783,10.125,9.9375,12.6149320602417,13.389397621154783,10.125,9.9375,0.0002367485327588,0.0002346766373637,True,366.0113968510004,5139.739523267999,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
17,0.1366876928741935,0.2015705105925676,12.49350929260254,15.663788795471191,9.875,12.28125,12.49350929260254,15.663788795471191,9.875,12.28125,12.49350929260254,15.663788795471191,9.875,12.28125,0.0002346766373637,0.0002324650040805,True,336.73754030300006,5476.564715144999,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
18,0.1298202970432379,0.2337820861399759,12.087606430053713,17.46108055114746,9.625,13.375,12.087606430053713,17.46108055114746,9.625,13.375,12.087606430053713,17.46108055114746,9.625,13.375,0.0002324650040805,0.0002301165164571,True,296.56038734200047,5773.291907053999,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
19,0.1262334604878022,0.1397347774612619,11.863347053527832,12.564669609069824,9.375,9.6875,11.863347053527832,12.564669609069824,9.375,9.6875,11.863347053527832,12.564669609069824,9.375,9.6875,0.0002301165164571,0.0002276342364734,True,272.2434026899992,6045.585844417999,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
20,0.1226896565184309,0.1477630372468753,11.733367919921877,12.876599311828612,9.25,9.375,11.733367919921877,12.876599311828612,9.25,9.375,11.733367919921877,12.876599311828612,9.25,9.375,0.0002276342364734,0.0002250214005489,True,265.3104533559999,6310.949603990999,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
21,0.1200894629994912,0.1593873086182967,11.63011360168457,13.574793815612791,9.25,10.3125,11.63011360168457,13.574793815612791,9.25,10.3125,11.63011360168457,13.574793815612791,9.25,10.3125,0.0002250214005489,0.0002222814153231,True,266.37564973999906,6577.347796442,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
22,0.1193088082814776,0.1225875159529616,11.550602912902832,11.427529335021973,9.25,8.375,11.550602912902832,11.427529335021973,9.25,8.375,11.550602912902832,11.427529335021973,9.25,8.375,0.0002222814153231,0.0002194178532141,True,267.7600491639987,6845.136006745999,True,90-8-no1-Bonet-master_like_train_20260410_092842,1
23,0.1136643044016895,0.1333244166233763,11.266237258911133,12.228742599487305,9.0,9.3125,11.266237258911133,12.228742599487305,9.0,9.3125,11.266237258911133,12.228742599487305,9.0,9.3125,0.0002194178532141,0.0002164344477605,True,254.990086111,7100.128838741999,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
24,0.1098006913349225,0.1365993151867038,10.972122192382812,12.235712051391602,8.625,9.3125,10.972122192382812,12.235712051391602,8.625,9.3125,10.972122192382812,12.235712051391602,8.625,9.3125,0.0002164344477605,0.0002133350887539,True,254.20517470599955,7354.357484140999,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
25,0.1080540268113923,0.1191100755714266,10.944554328918455,11.316795349121094,8.75,8.625,10.944554328918455,11.316795349121094,8.75,8.625,10.944554328918455,11.316795349121094,8.75,8.625,0.0002133350887539,0.0002101238171672,True,254.93677070400008,7609.297935918001,True,90-8-no1-Bonet-master_like_train_20260410_092842,1
26,0.1065762072891143,0.1292795784990884,10.813945770263672,11.88911247253418,8.625,8.875,10.813945770263672,11.88911247253418,8.625,8.875,10.813945770263672,11.88911247253418,8.625,8.875,0.0002101238171672,0.0002068048198857,True,252.12067875699904,7861.420596976,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
27,0.1045393563514096,0.1285385786442067,10.757762908935549,12.083296775817873,8.75,9.4375,10.757762908935549,12.083296775817873,8.75,9.4375,10.757762908935549,12.083296775817873,8.75,9.4375,0.0002068048198857,0.0002033824242489,True,256.84715084399977,8118.276120226999,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
28,0.1021095620696552,0.1168269699368871,10.547751426696776,11.341185569763184,8.25,8.875,10.547751426696776,11.341185569763184,8.25,8.875,10.547751426696776,11.341185569763184,8.25,8.875,0.0002033824242489,0.0001998610924076,True,254.15505299600045,8372.445872804,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
29,0.1041078086561831,0.1477519458507254,10.690962791442873,12.730780601501465,8.5,9.375,10.690962791442873,12.730780601501465,8.5,9.375,10.690962791442873,12.730780601501465,8.5,9.375,0.0001998610924076,0.0001962454155068,True,255.88335879999977,8628.342713251,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
30,0.1026451601598502,0.1173118925006827,10.6231050491333,10.894722938537598,8.5,7.875,10.6231050491333,10.894722938537598,8.5,7.875,10.6231050491333,10.894722938537598,8.5,7.875,0.0001962454155068,0.0001925401076995,True,254.82039361199892,8883.174658617,True,90-8-no1-Bonet-master_like_train_20260410_092842,1
31,0.0946319325659318,0.1273616054846394,10.157331466674805,12.01231575012207,8.0,9.5,10.157331466674805,12.01231575012207,8.0,9.5,10.157331466674805,12.01231575012207,8.0,9.5,0.0001925401076995,0.0001887499999999,True,254.681658341,9137.859256637,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
32,0.0946801578660976,0.1569371525234794,10.11874294281006,13.270445823669434,8.0,9.875,10.11874294281006,13.270445823669434,8.0,9.875,10.11874294281006,13.270445823669434,8.0,9.875,0.0001887499999999,0.0001848800339857,True,251.9219221269996,9389.793699923,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
33,0.0944691444885381,0.1169241250062891,10.100656509399414,11.174986839294434,7.9375,8.75,10.100656509399414,11.174986839294434,7.9375,8.75,10.100656509399414,11.174986839294434,7.9375,8.75,0.0001848800339857,0.000180935255354,True,252.16382548300132,9641.965497092,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
34,0.0909749364154387,0.1198743785121497,9.908247947692873,11.321857452392578,7.875,8.625,9.908247947692873,11.321857452392578,7.875,8.625,9.908247947692873,11.321857452392578,7.875,8.625,0.000180935255354,0.0001769208073437,True,253.513053527,9895.510173977,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
35,0.091071338334279,0.1228920482360296,9.890007972717283,11.452402114868164,7.8125,8.75,9.890007972717283,11.452402114868164,7.8125,8.75,9.890007972717283,11.452402114868164,7.8125,8.75,0.0001769208073437,0.0001728419240291,True,256.29303341299965,10151.818472502,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
36,0.0886221033894305,0.1084237147702575,9.8131742477417,10.647527694702148,7.875,7.875,9.8131742477417,10.647527694702148,7.875,7.875,9.8131742477417,10.647527694702148,7.875,7.875,0.0001728419240291,0.0001687039234958,True,260.45391925400145,10412.286191837,True,90-8-no1-Bonet-master_like_train_20260410_092842,1
37,0.0879600478227326,0.1364316639149506,9.715189933776855,12.293171882629396,7.75,9.0,9.715189933776855,12.293171882629396,7.75,9.0,9.715189933776855,12.293171882629396,7.75,9.0,0.0001687039234958,0.0001645122009072,True,253.19185488900075,10665.490509434,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
38,0.0851129489102621,0.1206119777882918,9.52716064453125,11.565436363220217,7.625,9.125,9.52716064453125,11.565436363220217,7.625,9.125,9.52716064453125,11.565436363220217,7.625,9.125,0.0001645122009072,0.0001602722214698,True,252.9323106669999,10918.430661086,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
39,0.0848743450937972,0.1180802719173809,9.558710098266602,11.299986839294434,7.640625,8.375,9.558710098266602,11.299986839294434,7.640625,8.375,9.558710098266602,11.299986839294434,7.640625,8.375,0.0001602722214698,0.0001559895133078,True,250.66974665599992,11169.109920812,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
40,0.082321176868854,0.116408094011383,9.386297225952148,11.2267484664917,7.5,8.625,9.386297225952148,11.2267484664917,7.5,8.625,9.386297225952148,11.2267484664917,7.5,8.625,0.0001559895133078,0.0001516696602557,True,251.22553397900083,11420.340886214,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
41,0.0822956418641287,0.1031272172886058,9.35776710510254,10.291790962219238,7.375,7.8125,9.35776710510254,10.291790962219238,7.375,7.8125,9.35776710510254,10.291790962219238,7.375,7.8125,0.0001516696602557,0.0001473182945777,True,251.93182955800148,11672.279853551,True,90-8-no1-Bonet-master_like_train_20260410_092842,1
42,0.0806277740826113,0.1114294188721484,9.297484397888184,10.799373626708984,7.625,7.8125,9.297484397888184,10.799373626708984,7.625,7.8125,9.297484397888184,10.799373626708984,7.625,7.8125,0.0001473182945777,0.0001429410896244,True,253.2661576010014,11925.552919176,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
43,0.0811227206568171,0.1087875527553103,9.306931495666504,10.693833351135254,7.5,8.125,9.306931495666504,10.693833351135254,7.5,8.125,9.306931495666504,10.693833351135254,7.5,8.125,0.0001429410896244,0.0001385437524362,True,250.9555389100005,12176.512818627,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
44,0.0803895492728801,0.1078646484590011,9.260687828063965,10.676170349121094,7.375,7.875,9.260687828063965,10.676170349121094,7.375,7.875,9.260687828063965,10.676170349121094,7.375,7.875,0.0001385437524362,0.0001341320163017,True,250.6202100139999,12427.139601098,False,90-8-no1-Bonet-master_like_train_20260410_092842,1
